Time (ms),Raw ECG
11176.00,25.31
11184.00,-59.09
11192.00,73.31
11200.00,90.31
11208.00,53.06
11216.01,27.28
11224.00,-53.00
11232.00,-155.78
11240.01,-223.53
11248.01,-315.69
11256.00,-429.81
11264.01,-498.16
11272.01,-524.66
11280.00,-452.91
11288.00,-303.97
11296.00,-218.31
11304.01,-162.94
11312.00,-123.19
11320.01,-144.13
11328.00,-124.03
11336.00,-50.28
11344.01,-6.06
11352.01,18.75
11360.00,28.84
11368.01,-21.34
11376.01,-118.97
11384.00,-197.81
11392.01,-238.84
11400.00,-267.31
11408.01,-305.28
11416.00,-346.22
11424.01,-351.81
11432.01,-332.47
11440.00,-347.31
11448.00,-370.88
11456.00,-341.16
11464.01,-301.16
11472.00,-297.72
11480.01,-293.97
11488.00,-267.66
11496.01,-245.84
11504.00,-250.41
11512.01,-277.34
11520.01,-330.94
11528.00,-383.34
11536.00,-357.75
11544.00,-291.09
11552.00,-278.83
11560.01,-284.48
11568.00,-263.13
11576.01,-246.69
11584.00,-243.77
11592.00,-229.00
11600.00,-158.14
11608.00,-17.94
11616.00,-27.30
11624.01,-337.50
11632.01,-535.91
11640.01,-172.00
11648.01,442.75
11656.00,494.03
11664.00,98.50
11672.00,53.32
11680.00,146.34
11688.00,90.33
11696.00,141.38
11704.00,185.62
11712.00,175.40
11720.00,207.22
11728.00,200.43
11736.00,158.13
11744.01,124.04
11752.01,104.82
11760.01,81.09
11768.01,-15.18
11776.01,-170.18
11784.00,-302.53
11792.01,-382.31
11800.00,-388.72
11808.00,-340.64
11816.00,-304.00
11824.01,-278.80
11832.00,-243.21
11840.01,-212.52
11848.00,-185.09
11856.01,-154.44
11864.01,-127.52
